"تاریخ شمسی","رویداد","تأثیر بر بازارها"
"1392/03","انتخابات ریاست‌جمهوری ایران (انتخاب حسن روحانی)","امید به بهبود روابط بین‌المللی و کاهش قیمت دلار و سکه"
"1394/04","توافق هسته‌ای ایران (برجام)","کاهش قیمت دلار و سکه به دلیل امید به رفع تحریم‌ها"
"1397/02","خروج ایالات متحده از برجام","افزایش فشار اقتصادی بر ایران و افزایش قیمت دلار، سکه و طلا"
"1398/09","شروع شیوع ویروس کرونا (کووید-۱۹)","افزایش قیمت طلا، سکه و بیت‌کوین به دلیل بحران اقتصادی جهانی"
"1400/06","آغاز ریاست‌جمهوری ابراهیم رئیسی در ایران","افزایش نگرانی‌های اقتصادی و سیاسی و تأثیر بر بازار ارز و طلا"
"1400/12","جنگ روسیه و اوکراین","افزایش قیمت نفت و طلا، نوسانات ارز و بیت‌کوین"
"1399/08","انتخابات ریاست‌جمهوری ایالات متحده (انتخاب جو بایدن)","امید به کاهش تنش‌ها و کاهش قیمت دلار و طلا"
"1395/04","برگزیت","نوسانات در بازار ارز و طلا و افزایش قیمت طلا"
"1400/09","انتشار GPT-3 توسط OpenAI","افزایش توجه به فناوری‌های نوین و تأثیر بر بازارهای تکنولوژی و سرمایه‌گذاری"
"1400/02","جنگ نیابتی ایران در غزه و لبنان","تأثیر بر بازار نفت و نوسانات قیمت ارز"
"1400/12","جنگ بین ایران و اسرائیل (در برخی مناطق)","افزایش تنش‌ها در خاورمیانه و تأثیر بر قیمت نفت و دلار"
"1399/01","کاهش شدید قیمت نفت (در اثر بحران کرونا)","تأثیر بر بازارهای نفت و ارز، به ویژه قیمت دلار"
"1399/10","رشد و نوسانات بیت‌کوین","افزایش قیمت بیت‌کوین به عنوان دارایی امن، تأثیر بر قیمت طلا"
"1398/08","اعتراضات آبان ۱۳۹۸ در ایران","نوسانات شدید بازار دلار و طلا به دلیل بحران‌های داخلی"
"1403/07","کشته شدن حسن نصرالله (دبیرکل حزب‌الله لبنان)","افزایش تنش‌ها در خاورمیانه و تأثیر بر بازار ارز، سکه و طلا"
"1403/03","کشته شدن رئیس‌جمهور ایران، ابراهیم رئیسی","افزایش تنش‌های سیاسی و اقتصادی و نوسانات در بازارهای ارز و طلا"
"1402/12","افزایش بحران اقتصادی در ایران","افزایش قیمت دلار و سکه، کاهش ارزش ریال"
"1401/09","افزایش تحریم‌ها علیه ایران (تحریم‌های نفتی و بانکی)","افزایش فشار اقتصادی و افزایش قیمت دلار"
"1401/01","ترور شهید قاسم سلیمانی توسط آمریکا","افزایش تنش‌ها در منطقه و تأثیر بر بازار نفت و دلار"
"2011/03","آغاز جنگ داخلی سوریه","تنش‌های منطقه‌ای و تاثیرات بر بازار ارز و طلا"
"2019/09","حمله به تاسیسات نفتی آرامکو عربستان","افزایش قیمت نفت و تأثیر بر بازارهای جهانی"
"2021/08","تصرف افغانستان توسط طالبان","افزایش تنش‌های منطقه‌ای و تاثیرات بر ارز و بازارهای ایران"
"2022/08","توقف مذاکرات احیای برجام","بی‌ثباتی بازار و افزایش نوسانات ارز"
"2023/01","اعتراضات داخلی ایران","کاهش ارزش ریال و نوسانات شدید در بازار ارز"
